日期Date,指数代码Index Code,指数中文全称Index Chinese Name(Full),指数中文简称Index Chinese Name,指数英文全称Index English Name(Full),指数英文简称Index English Name,开盘Open,最高High,最低Low,收盘Close,涨跌Change,涨跌幅(%)Change(%),成交量（万手）Volume(M Shares),成交金额（亿元）Turnover,样本数量ConsNumber
2020-12-24,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,5762.02,5775.69,5700.56,5716.82,-48.35,-0.84,59772.29,7604.94,3599
2020-12-25,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,5698.12,5772.15,5691.29,5770.09,53.27,0.93,59662.64,7324.67,3599
2020-12-28,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,5772.26,5797.27,5743.35,5768.07,-2.02,-0.03,65670.65,8180.83,3600
2020-12-29,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,5771.02,5786.77,5731.61,5737.24,-30.83,-0.53,65031.17,7980.14,3600
2020-12-30,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,5733.82,5811.8,5732.91,5810.6,73.36,1.28,61022.89,7802.58,3601
2020-12-31,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,5820.62,5915.77,5820.62,5913.6,103.0,1.77,67011.35,8886.9,3601
2021-01-04,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,5925.27,6023.36,5905.07,6008.97,95.37,1.61,78162.82,10891.97,3601
2021-01-05,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,5986.96,6080.61,5973.14,6080.61,71.64,1.19,82904.45,11806.94,3601
2021-01-06,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,6094.06,6120.8,6023.69,6091.64,11.03,0.18,76564.2,10894.18,3603
2021-01-07,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,6091.71,6121.27,6037.23,6121.27,29.63,0.49,83553.92,11333.38,3603
2021-01-08,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,6127.87,6143.95,6055.04,6105.46,-15.81,-0.26,73124.74,10641.72,3603
2021-01-11,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,6111.78,6142.0,5993.43,6023.86,-81.6,-1.34,76796.72,11365.14,3604
2021-01-12,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,6000.67,6154.32,5999.7,6154.32,130.46,2.16,67905.39,10240.39,3604
2021-01-13,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,6164.07,6179.06,6071.97,6113.53,-40.79,-0.66,78709.45,11652.34,3604
2021-01-14,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,6088.26,6104.22,6018.41,6033.08,-80.45,-1.32,71021.8,10551.85,3605
2021-01-15,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,6029.61,6063.53,5960.75,6038.49,5.41,0.09,65686.08,9681.18,3605
2021-01-18,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,6021.86,6135.09,6008.46,6120.44,81.95,1.36,63489.03,9319.08,3606
2021-01-19,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,6123.61,6132.69,6034.44,6054.84,-65.6,-1.07,68627.49,9717.29,3606
2021-01-20,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,6057.69,6115.27,6042.81,6106.72,51.88,0.86,58402.67,8519.19,3607
2021-01-21,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,6118.86,6220.05,6118.24,6191.29,84.57,1.38,70458.53,10177.54,3608
2021-01-22,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,6185.79,6198.61,6133.76,6192.62,1.34,0.02,68769.54,10394.01,3609
2021-01-25,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,6184.67,6254.93,6155.98,6210.1,17.48,0.28,69795.09,11310.03,3611
2021-01-26,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,6183.66,6184.32,6084.46,6093.23,-116.87,-1.88,59679.51,9452.4,3611
2021-01-27,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,6086.61,6116.9,6026.1,6108.02,14.78,0.24,56842.09,8600.87,3611
2021-01-28,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,6028.56,6061.03,5947.29,5960.01,-148.01,-2.42,59275.38,8548.38,3611
2021-01-29,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,5996.96,6012.62,5834.54,5907.85,-52.16,-0.88,62871.68,8894.18,3610
2021-02-01,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,5904.01,5964.94,5893.31,5962.69,54.84,0.93,58059.22,7915.26,3610
2021-02-02,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,5972.64,6043.2,5944.01,6040.88,78.2,1.31,56353.26,8367.93,3610
2021-02-03,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,6039.56,6064.8,5998.87,6003.64,-37.25,-0.62,60891.63,8885.0,3610
2021-02-04,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,5974.67,6016.31,5883.05,5954.77,-48.87,-0.81,61636.21,8778.8,3610
2021-02-05,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,5972.84,6007.09,5917.55,5921.01,-33.76,-0.57,57455.73,8290.93,3611
2021-02-08,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,5938.58,6015.48,5904.51,5998.57,77.56,1.31,49839.04,7471.36,3611
2021-02-09,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,6015.69,6129.96,5999.19,6128.95,130.38,2.17,51198.47,7746.75,3611
2021-02-10,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,6148.64,6241.09,6139.62,6226.25,97.3,1.59,50790.04,8127.71,3611
2021-02-18,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,6342.19,6355.32,6211.03,6238.88,12.63,0.2,67394.25,10183.63,3617
